,"TIC, sector, std of lc, and noise are the same 
for all 4 ranges
(0-1, 1-5, 5-10, 10-15 days)",,,,0-1 day range,,,,.9-5 day range,,,,4.9-10 day range,,,,9.9-15 day range,,,
,TIC,sector,std of lc,noise level [%],period [days],max amp [%],avg amp [%],max amp / noise,period [days],max amp [%],avg amp [%],max amp / noise,period [days],max amp [%],avg amp [%],max amp / noise,period [days],max amp [%],avg amp [%],max amp / noise
,327587572,19,0.00407625,0.00557617,0.0034082834136263005 d,0.02090807,0.00558557,3.74953731,1.8647641244999784 d,0.01694471,0.006989,3.03877078,6.755055910786635 d,0.02088445,0.01454009,3.74530155,12.094956794094323 d,0.01699961,0.01461693,3.04861635
,247923021,6,0.01140093,0.01659599,0.004520593737119165 d,0.06706111,0.01665513,4.04080325,3.4262851564738708 d,0.05977058,0.02334918,3.60150795,8.44792538129272 d,0.02422252,0.02071388,1.45954114,10.612888678337413 d,0.02018486,0.01313899,1.21624958
,247923021,33,0.01069672,0.01436569,0.9085742045704949 d,0.05596472,0.01444518,3.89572068,0.9108383243188759 d,0.05610826,0.01852091,3.90571286,6.175758639440941 d,0.02973821,0.01701862,2.07008597,10.242923225457004 d,0.02007092,0.01691602,1.39714268
,149505899,23,0.01041733,0.01621042,0.005134425259072825 d,0.06318664,0.01626283,3.89790209,0.9049305758103455 d,0.05404795,0.02345503,3.33414835,5.27174951841822 d,0.03877875,0.02781997,2.39221094,12.051967702650135 d,0.02970889,0.02412532,1.83270273
,147921014,14,0.03542899,0.04626636,0.8817738267344012 d,0.2031891,0.04623958,4.39172409,3.643151953146502 d,0.35287101,0.0889088,7.62694507,5.986631931364562 d,0.17919072,0.14479488,3.87302379,13.492467875147318 d,0.06065194,0.05308834,1.31092959
,147921014,20,0.03522047,0.04701714,0.0030932657311578864 d,0.16975769,0.04687642,3.61054881,4.3403365408322 d,0.14330569,0.06082283,3.04794546,7.66889510683097 d,0.2986565,0.18609522,6.35207661,13.46513241380888 d,0.41210738,0.35992468,8.76504483
,147921014,21,0.03232955,0.04194985,0.008357071222520284 d,0.14808301,0.04215148,3.53000077,4.100329821981198 d,0.15163608,0.06076415,3.61469874,6.95010008738853 d,0.18059478,0.1015059,4.30501589,15.0 d,0.02803338,0.02113108,0.66825925
,471015233,25,0.19448562,0.3284656,0.8891349358254379 d,1.43503375,0.32399436,4.36890116,3.3188459627683073 d,3.24361812,1.04632066,9.87506181,7.196045508225355 d,2.89293965,1.42595301,8.80743565,15.0 d,1.71992328,1.46255338,5.23623559
,383553764,19,0.00010269,0.0001409,0.7615906476742372 d,0.0036531,0.00013604,25.9263587,1.5786768818147654 d,0.00082559,0.00035079,5.85929577,10.0 d,0.00095538,0.00052359,6.78039337,11.019676049008384 d,0.00107393,0.00086076,7.62176492
variable,383553764,20,0.00014464,0.00019308,0.7624414929126846 d,0.0041059,0.00019034,21.2648646,1.8713474971739301 d,0.000866,0.00035041,4.48510367,10.0 d,0.00104098,0.00045844,5.39131127,10.302445824453748 d,0.00103007,0.00066827,5.33485212
,383553764,25,8.92E-05,0.00012037,0.7579109650536321 d,0.00192357,0.00011701,15.980004,3.598333976532974 d,0.00125193,0.00036986,10.4003467,5.168288086264255 d,0.00126392,0.00071079,10.5000048,10.221894633471063 d,0.00092361,0.00054827,7.6728718
