TIC,Sector,flux variation [percent]
327587572,19,1.903554081916814
247923021,6,5.285820364952087
247923021,33,4.986646950244911
149505899,23,4.892620205879206
147921014,14,16.40288805961608
147921014,20,16.415545463562008
147921014,21,15.050307393074014
471015233,25,94.63429445028316
383553764,19,0.04956078529357866
383553764,20,0.06933194398881515
383553764,25,0.041987061500547984
166698220,2,0.06768226623534712
166698220,3,0.06224930286408137
166698220,29,0.08353710174561213
166698220,30,0.07524776458740501
41232189,3,0.21161878108978405
41232189,6,0.2173771858215212
41232189,9,0.21287554502488204
41232189,10,0.2065325379371763
41232189,13,0.23977458477020264
41232189,30,0.20789396762848078
41232189,33,0.21436905860900968
41232189,36,0.19710779190063032
41232189,37,0.21929985284805387
298165335,16,0.08280825614930265
298165335,22,0.10217905044556108
298165335,23,0.08898645639420222
198456033,14,0.48004049062728704
198456033,15,0.49776971340178555
198456033,16,0.4845899343490667
198456033,17,0.4847462177276496
198456033,18,0.5050970315933156
198456033,19,0.48296999931336515
198456033,20,0.49216675758361195
198456033,21,0.4979984760284384
198456033,22,0.48442268371581276
198456033,23,0.4615974426269487
198456033,24,0.4854948520660374
198456033,25,0.4906699061393627
198456033,26,0.494931221008299
181240911,10,0.16738450527191695
165370459,22,0.2640106678009069
165370459,23,0.22750234603882147
219752116,24,0.43415755033492376
27533327,14,0.39496243000030073
27533327,15,0.8884918689727739
39464221,25,0.12260049581528376
39464221,26,0.12896537780762163
441120034,1,0.6092036366462716
441120034,28,0.33695751428604037
140282069,5,0.1879901289939978
140282069,6,0.1438105106353671
140282069,32,0.13923078775406328
140282069,33,0.15939283370970392
32869782,6,1.3776794075965881
32869782,32,1.341679096221926
32869782,33,1.1015400886535742
365653206,13,0.23476660251616766
365653206,39,0.22435605525971125
229980646,10,0.30035793781280073
229980646,37,0.28123748302459894
219820925,14,0.1593024071106397
219820925,15,0.16063711722588137
219820925,16,0.15896677359367173
219820925,17,0.1679429244005548
219820925,18,0.1629447046514354
219820925,20,0.1710214733148363
219820925,21,0.17982285675425258
219820925,22,0.17603437557073276
219820925,23,0.18078333312864237
219820925,24,0.15697870780472245
219820925,25,0.16314591197685857
219820925,26,0.1656212506637833
229945862,14,0.12583739633726942
229945862,15,0.16251844394309378
229945862,16,0.15656480209471635
229945862,17,0.14804120098529383
229945862,18,0.1397519700885752
229945862,19,0.10611045305723987
229945862,20,0.11119683532478941
229945862,21,0.1143402827751161
229945862,22,0.1462788971319129
229945862,23,0.15349626145185757
229945862,24,0.10535608669081098
229945862,25,0.1001683813285914
229945862,26,0.10779060106890226
440765193,7,0.2569076516065749
440765193,33,0.3081412012043927
8591766,24,0.7439312309946322
8591766,25,0.6350946976629523
417544924,23,1.0789599385759407
417544924,24,1.361374400022075
144599609,4,7.023417745655125
144599609,31,14.74442279026521
207440438,16,5.591971593755563
207440438,22,5.667262569796671
207440438,23,5.27398539880175
207440438,24,5.117449661777318
207440438,25,5.323773783598707
219094190,15,0.45468714058544135
219094190,16,0.3652710125663816
219094190,19,0.4868473107710991
219094190,22,0.49218281479470605
219094190,24,0.32322521641520163
219094190,25,0.38727281254964385
233095291,14,1.243251992545169
233095291,15,0.9159256165891971
233095291,16,0.9131862673024016
233095291,18,1.471597698408289
233095291,19,1.0673978676479234
233095291,20,1.3297494742412597
233095291,21,1.1868208976492878
233095291,22,0.8971865914291
233095291,23,0.9001149247461537
233095291,24,1.2086781746187603
233095291,25,1.2804887120398067
233095291,26,1.2074770722165895
219114641,14,0.6022349776180991
219114641,15,0.62866579444526
219114641,16,0.6253509980216454
219114641,17,0.6145499434053958
219114641,18,0.6562232640530463
219114641,20,0.5907508938632455
219114641,21,0.5906248354100141
219114641,23,0.7593085208230321
219114641,24,0.5768046908086966
219114641,25,0.5927239202772494
219114641,26,0.5965627133300844
233067231,14,0.42073653756590224
233067231,15,0.5913037054979253
233067231,16,0.5019127957791025
233067231,17,0.5392745195600401
233067231,18,0.5120769291647287
233067231,19,0.418009285264076
233067231,20,0.39045053098748506
233067231,21,0.4471279192367339
233067231,22,0.553445767063987
233067231,23,0.6771246268302278
233067231,24,0.3833428683123419
233067231,25,0.7845884103161338
233075513,14,0.5415085727009217
233075513,15,0.8197368927394644
233075513,16,0.5959674368011036
233075513,17,1.0389113640293934
233075513,18,0.7342808126236666
233075513,19,0.7437262186873683
233075513,21,1.056173534162208
233075513,22,0.6091396118156678
233075513,24,0.5353554989314335
233075513,25,0.5824792410803026
233075513,26,0.7134889728164895
219897252,14,0.8403388062596773
219897252,15,0.7774659720751642
219897252,16,0.6302399797067926
219897252,18,0.8333297613628554
219897252,19,0.8193484681110252
219897252,20,0.8076507801005106
219897252,21,0.6885919709006982
219897252,22,0.8896315260210175
219897252,23,0.9568960049694764
219897252,24,0.6603300174701454
219897252,25,0.6399289068640845
219897252,26,0.6655095919583354
233205654,14,1.2771970075652672
233205654,16,1.4410039596984503
233205654,17,1.1563569966277498
233205654,18,1.3240252669539432
233205654,20,0.9395520144306335
233205654,21,1.380408553681678
233205654,23,1.4508964768988886
233205654,24,1.02365309043021
233205654,25,1.2982922163438437
233205654,26,1.3632634902066232
