TIC,sector,std of lc,noise level [%],period [days],max amp [%],avg amp [%],max amp / noise
327587572,19,0.00407625,0.005576173227814451,12.094956794094323 d,0.01699961285090002,0.014616926740599001,3.0486163460820106
247923021,6,0.011400926,0.016595986102361692,10.612888678337413 d,0.020184861170636496,0.013138985055367251,1.2162495826484265
247923021,33,0.010696722,0.014365690648950047,10.242923225457004 d,0.020070919596179914,0.016916024574383192,1.3971426843753487
149505899,23,0.010417328,0.016210422608725853,12.051967702650135 d,0.029708885755591954,0.024125321664373853,1.832702729144153
147921014,14,0.035428993,0.04626636299024886,13.492467875147318 d,0.060651944320348546,0.053088339483847606,1.3109295911833745
147921014,20,0.03522047,0.047017144339338415,13.46513241380888 d,0.4121073777959225,0.3599246768158457,8.765044827512408
147921014,21,0.032329552,0.041949852566794066,15.0 d,0.028033377039795276,0.021131075373510885,0.6682592506173776
471015233,25,0.19448562,0.3284656017783215,15.0 d,1.7199232754294562,1.462553377036624,5.236235593979235
383553764,19,0.00010269148,0.00014090299694983946,11.019676049008384 d,0.0010739295197304609,0.0008607586143597523,7.621764923231354
383553764,20,0.00014464294,0.00019308387864206794,10.302445824453748 d,0.0010300739394688558,0.0006682748548017092,5.3348521208151745
383553764,25,8.916596e-05,0.00012037341449248147,10.221894633471063 d,0.0009236097769332589,0.0005482697328697323,7.67287179505029
166698220,2,0.00014449065,0.00018933231414118709,10.432165658974862 d,0.00071013204372034,0.0005649299797359823,3.7507176043429498
166698220,3,0.00013343025,0.0002059786046983777,11.575030777089289 d,0.000780499692622163,0.000657101626102229,3.7892270110533004
166698220,29,0.00017358198,0.00024600691918030295,10.099863324080363 d,0.0008962081588200819,0.00046638346222898643,3.643020130516063
166698220,30,0.00015619029,0.00021363127064936646,10.275039743305475 d,0.001143576242367569,0.0009508349901918762,5.353037684471407
41232189,3,0.00047138295,0.0007427954232616192,10.388997290296613 d,0.001468016666277571,0.0012115667614463572,1.9763404839403842
41232189,6,0.00047011906,0.0006843613069756671,10.61292888938486 d,0.0006696132798760644,0.0004530132809588878,0.9784499401861609
41232189,9,0.000491932,0.0006957846546945244,15.0 d,0.001353398825955103,0.0008417059663169534,1.9451403775918226
41232189,10,0.0004381459,0.0006088354024908359,15.0 d,0.000893132904742694,0.0007877053990141708,1.4669529746278795
41232189,13,0.00051688374,0.0006548793504559429,11.393852742604544 d,0.0013560416102463852,0.0009899125855151738,2.070673948265854
41232189,30,0.00045610682,0.000641125336828563,12.148014601180032 d,0.002628829906661502,0.0022035662063700687,4.100336947632521
41232189,33,0.00047864,0.0006420763551416914,13.439607587947155 d,0.0006623334013313294,0.000608924582189297,1.0315492791899612
41232189,36,0.00043948498,0.0006263685916286987,9.981990612876462 d,0.0029386099251532166,0.0022545337824418036,4.691502678178949
41232189,37,0.0004886424,0.0006894656130706583,10.044728771219182 d,0.0012353298939353525,0.0007267159336722439,1.791720820467884
298165335,16,0.00017461192,0.0002489673690824371,11.988144589309165 d,0.00041011310038307185,0.00038209653266532505,1.6472564332206796
298165335,22,0.00021575607,0.0002865858660156495,10.370814510367026 d,0.0005812691112315409,0.00032071067251590796,2.0282546355576367
298165335,23,0.00018468678,0.0002632217347208896,12.146991242390493 d,0.0006600820687771078,0.0005571772322074953,2.507703512694474
198456033,14,0.0010346703,0.001351092076194536,13.492442939965068 d,0.0023389060568604647,0.002138007702397871,1.7311226215227236
198456033,15,0.0010615877,0.0014686231685637216,10.26864210618409 d,0.0016741324815311672,0.0009926476958567736,1.1399333180671722
198456033,16,0.001062644,0.0015273583241075513,11.984752014122362 d,0.0008628767568549443,0.0007095628516643985,0.5649471661203868
198456033,17,0.001054808,0.001604524878777658,10.753762235973944 d,0.00223770893789069,0.0016682999230177777,1.3946240207851421
198456033,18,0.0010646333,0.0015693537615269675,15.0 d,0.0010327784504874063,0.0005377002803160406,0.6580915506791292
198456033,19,0.0010697677,0.0014866567400504398,10.083287858069724 d,0.0009361594213387927,0.0008586803097202364,0.6297078512602918
198456033,20,0.0010573583,0.0014113477287032254,10.302509892778597 d,0.003962973410859571,0.0022975755968998404,2.807935514588478
198456033,21,0.0010536871,0.0013727615576620876,10.425228299525891 d,0.005379208310491882,0.0038626368730126977,3.9185307021949707
198456033,22,0.0010474907,0.0014368317229716187,12.199445231455378 d,0.0020716400291984514,0.0018164591071751623,1.4418111711188686
198456033,23,0.0009917979,0.001436242302694718,13.414733171320462 d,0.0019312382011217508,0.0012850936882355698,1.3446465108974355
198456033,24,0.0010586433,0.0014813399761622378,15.0 d,0.007480060703174062,0.004669686817370819,5.049523285365545
198456033,25,0.0010623974,0.0014338962740186568,11.106388106747538 d,0.0016696032857139943,0.0015364289019686686,1.1643821913524763
198456033,26,0.0010821524,0.0014736047371723961,13.385155991240552 d,0.00277226005709939,0.0024921814371469016,1.8812779215265678
181240911,10,0.0003492777,0.0004889054079256071,12.092721882298525 d,0.002505534184727195,0.0021754628790522806,5.124783125958881
165370459,22,0.00055237196,0.0007551990937051892,10.305243101733284 d,0.005847187657522917,0.0037984831952047496,7.742577694095476
165370459,23,0.00048108457,0.0007537759562392065,13.336214588074625 d,0.005701656467393701,0.00421838891272602,7.564126210446958
219752116,24,0.0009199241,0.0013704293912413642,15.0 d,0.008363265086964946,0.005416374006635772,6.102660334356461
27533327,14,0.00083539897,0.0010926009686098627,13.492471422474402 d,0.010499062895406377,0.00998850291362411,9.609238136375202
27533327,15,0.0017551575,0.0024270876599546405,12.191379950298272 d,0.029472558759500007,0.025701616778711182,12.143178528644826
39464221,25,0.00026198316,0.0003912501152959624,10.220926535060807 d,0.009322797050951325,0.0067146687457403445,23.828228252147774
39464221,26,0.00027475535,0.00037419919853798165,10.117505376934034 d,0.011038915885202377,0.00723035231907875,29.500105634464404
441120034,1,0.0015128753,0.00198580727674219,12.338704751654424 d,0.1843228696350424,0.16668389206168477,92.82011995516137
441120034,28,0.00075080723,0.0011287453715667735,10.769118027221477 d,0.044658438110344055,0.039500783601639694,39.56466997366747
140282069,5,0.0003952555,0.0005240715641724451,10.2979253148984 d,0.02102655117094861,0.015535022987371626,40.12152654027581
140282069,6,0.00030468177,0.0004435909289669089,10.612887778937328 d,0.011396917743267806,0.009633341924106115,25.692404869077016
140282069,32,0.00029381984,0.0003923314375175825,13.443444277725046 d,0.006408731646152548,0.00495215728003377,16.33499391917921
140282069,33,0.00034657912,0.0004649353087080234,10.242933201378019 d,0.018110106333750424,0.014442558862170602,38.95188426122194
32869782,6,0.0038297083,0.0055747916011713895,13.183431920500983 d,0.2266714454015733,0.1887424998825746,40.66007514145363
32869782,32,0.0028361958,0.0038004002907837584,12.172563543289694 d,0.14519183580986916,0.1243741889736101,38.20435341034199
32869782,33,0.0027649144,0.003709021791269107,15.0 d,0.06448566574115787,0.04521711049937529,17.38616523983618
365653206,13,0.00049174496,0.0006230768700105659,13.568510274984938 d,0.0019422797034342085,0.0014538893234801171,3.117239295692796
229980646,10,0.0006516186,0.0009177949217874829,10.112625584026219 d,0.00746543063397917,0.004465154097939208,8.134094509304557
229980646,37,0.0005909565,0.0008450969888481224,10.022106906712974 d,0.0038572160406918103,0.002668098376151935,4.564228830053274
219820925,14,0.0004525442083823905,0.002417365324039479,10.362298755715447 d,0.0023429531055730378,0.002194001347760892,0.9692176363553952
